Year,Country,CountryName,Population,AverageTemperature,MinTemperature,MaxTemperature,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,Meantemperature,AN_Temp,MeanGDP,AN_GDP,MeanCO2,AN_CO2,MeanPop,AN_POP
1965,NGA,Nigeria,50127214,26.667,26.35408333,26.97991667,5874422512,11.7501,0,0,0,27.0908978,0.423897799,62434227185,56559804673,53.07827358,41.32817358,92269841.08,42142627.08
1965,PAK,Pakistan,50845221,20.49516667,20.19133333,20.799,5884712096,16.8296,10000,0,0,21.07655818,0.581391509,52806213638,46921501542,65.45923962,48.62963962,100721180.1,49875959.06
1965,USA,United States,194303000,8.647666667,8.420916667,8.874416667,7.44E+11,3388.1927,577,0,1638000,9.135677673,0.488011006,5.95E+12,5.21E+12,4835.256547,1447.063847,244696395.8,50393395.77
1966,AUS,Australia,11651000,21.361,21.17483333,21.54716667,27261731437,120.2193,0,0,0,22.01454717,0.65354717,3.26E+11,2.99E+11,252.3304792,132.1111792,16163360.87,4512360.868
1966,BGD,Bangladesh,57672990,25.48433333,25.20358333,25.76508333,6439687598,3.1763,889,2300000,23400,25.28250472,-0.201828616,35173952142,28734264544,18.18194528,15.00564528,98939874.21,41266884.21
1966,BRA,Brazil,85837799,25.08641667,24.84841667,25.32441667,27062716578,64.2116,946,0,0,25.22883491,0.142418239,5.22E+11,4.94E+11,210.8392,146.6276,137590674.3,51752875.28
1966,CAN,Canada,20048000,-5.141333333,-5.378916667,-4.90375,60358632035,259.0744,0,0,0,-4.422849057,0.718484277,5.36E+11,4.76E+11,434.3247113,175.2503113,26407064.92,6359064.925
1966,CHN,China,735400000,6.962,6.778,7.146,76720285970,521.4589,0,0,0,7.139169811,0.177169811,1.13E+12,1.05E+12,2772.717077,2251.258177,1049505755,314105754.7
1966,ESP,Spain,32283194,13.96991667,13.723,14.21683333,28721062242,77.617,0,0,0,14.11321384,0.14329717,4.70E+11,4.41E+11,212.3998415,134.7828415,38244689.89,5961495.887
1966,FRA,France,50508717,13.21516667,12.91708333,13.51325,1.11E+11,347.6048,114,0,0,13.32412736,0.108960692,1.04E+12,9.28E+11,413.2225113,65.61771132,56972193.17,6463476.17
1966,GBR,United Kingdom,54648500,8.559916667,8.30625,8.813583333,1.07E+11,618.0747,140,0,0,8.956007862,0.396091195,1.01E+12,9.03E+11,581.3134792,-36.76122075,57367943.06,2719443.057
1966,IND,India,508161935,24.43858333,24.177,24.70016667,45253641303,171.6884,65,1050000,5600,24.35244969,-0.086133648,3.92E+11,3.47E+11,646.297066,474.608666,819442916.4,311280981.4
1966,ITA,Italy,52519000,13.04058333,12.79041667,13.29075,73654870011,213.9823,70,1300000,2.00E+06,13.25787264,0.217289308,8.47E+11,7.73E+11,368.5825604,154.6002604,55873572.26,3354572.264
1966,JPN,Japan,99790000,12.13441667,11.94516667,12.32366667,1.06E+11,419.2451,0,0,0,12.46862107,0.334204403,2.50E+12,2.40E+12,954.1336679,534.8885679,116985539.1,17195539.09
1966,KOR,"Korea, Rep.",29435571,12.02425,11.79633333,12.25216667,3928171298,29.9822,117,200044,1977,12.40232862,0.378078616,3.30E+11,3.26E+11,240.3905358,210.4083358,39940599.32,10505028.32
1966,MEX,Mexico,46011038,20.38966667,20.17191667,20.60741667,2.43E+10,80.8446,14,90069,24000,20.90401101,0.51434434,3.63E+11,3.38E+11,280.9360774,200.0914774,78762835.77,32751797.77
1966,NGA,Nigeria,51217359,26.77858333,26.49241667,27.06475,6366792664,12.8932,0,0,0,27.0908978,0.312314465,62434227185,56067434521,53.07827358,40.18507358,92269841.08,41052482.08
1966,PAK,Pakistan,52191095,20.56458333,20.30541667,20.82375,6466610752,17.1258,0,0,0,21.07655818,0.511974843,52806213638,46339602886,65.45923962,48.33343962,100721180.1,48530085.06
1966,USA,United States,196560000,8.483,8.29275,8.67325,8.15E+11,3559.1792,552,0,0,9.135677673,0.652677673,5.95E+12,5.14E+12,4835.256547,1276.077347,244696395.8,48136395.77
1967,AUS,Australia,11799000,21.62541667,21.426,21.82483333,30389741292,129.1442,662,0,668500,22.01454717,0.389130503,3.26E+11,2.96E+11,252.3304792,123.1862792,16163360.87,4364360.868
1967,BGD,Bangladesh,59620669,24.99241667,24.75033333,25.2345,7253575399,3.3711,91,200,0,25.28250472,0.29008805,35173952142,27920376743,18.18194528,14.81084528,98939874.21,39319205.21
1967,BRA,Brazil,88191378,25.01366667,24.76575,25.26158333,30591834054,66.0794,1256,0,0,25.22883491,0.215168239,5.22E+11,4.91E+11,210.8392,144.7598,137590674.3,49399296.28
1967,CAN,Canada,20412000,-5.282083333,-5.527666667,-5.0365,64768831262,281.637,0,0,0,-4.422849057,0.859234277,5.36E+11,4.71E+11,434.3247113,152.6877113,26407064.92,5995064.925
1967,CHN,China,754550000,6.402583333,6.195583333,6.609583333,72881631327,432.2236,0,0,0,7.139169811,0.736586478,1.13E+12,1.05E+12,2772.717077,2340.493477,1049505755,294955754.7
1967,ESP,Spain,32682947,13.69791667,13.45191667,13.94391667,31647119228,86.394,0,0,0,14.11321384,0.41529717,4.70E+11,4.38E+11,212.3998415,126.0058415,38244689.89,5561742.887
1967,FRA,France,50915456,13.0875,12.80683333,13.36816667,1.19E+11,372.4753,93,0,0,13.32412736,0.236627358,1.04E+12,9.20E+11,413.2225113,40.74721132,56972193.17,6056737.17
1967,GBR,United Kingdom,54943600,8.833166667,8.55425,9.112083333,1.11E+11,592.057,50,0,0,8.956007862,0.122841195,1.01E+12,8.99E+11,581.3134792,-10.74352075,57367943.06,2424343.057
1967,IDN,Indonesia,105907403,25.83508333,25.61316667,26.057,5667756645,24.54,485,0,0,26.15976993,0.324686594,1.83E+11,1.77E+11,199.246887,174.706887,178093963.5,72186560.48
1967,IND,India,518889779,23.99208333,23.72333333,24.26083333,49466168891,172.0931,4606,0,0,24.35244969,0.360366352,3.92E+11,3.43E+11,646.297066,474.203966,819442916.4,300553137.4
1967,ITA,Italy,52900500,13.13725,12.91941667,13.35508333,81133120065,234.1297,0,0,0,13.25787264,0.120622642,8.47E+11,7.66E+11,368.5825604,134.4528604,55873572.26,2973072.264
1967,JPN,Japan,100725000,12.26633333,12.0655,12.46716667,1.24E+11,489.3074,779,3235,0,12.46862107,0.202287736,2.50E+12,2.38E+12,954.1336679,464.8262679,116985539.1,16260539.09
1967,KOR,"Korea, Rep.",30130983,12.04625,11.80683333,12.28566667,4854576371,35.1132,0,2800000,0,12.40232862,0.356078616,3.30E+11,3.25E+11,240.3905358,205.2773358,39940599.32,9809616.321
1967,MEX,Mexico,47429812,20.68333333,20.466,20.90066667,2.66E+10,90.0055,0,279345,184500,20.90401101,0.220677673,3.63E+11,3.36E+11,280.9360774,190.9305774,78762835.77,31333023.77
1967,NGA,Nigeria,52341834,26.59516667,26.30333333,26.887,5203135937,12.8245,0,0,0,27.0908978,0.495731132,62434227185,57231091248,53.07827358,40.25377358,92269841.08,39928007.08
1967,PAK,Pakistan,53590929,20.34858333,20.07466667,20.6225,7403821903,18.1759,32,150000,2800,21.07655818,0.727974843,52806213638,45402391735,65.45923962,47.28333962,100721180.1,47130251.06
1967,USA,United States,198712000,8.902,8.706833333,9.097166667,8.62E+11,3693.2982,275,0,2.00E+05,9.135677673,0.233677673,5.95E+12,5.09E+12,4835.256547,1141.958347,244696395.8,45984395.77
1968,AUS,Australia,12009000,21.46216667,21.27766667,21.64666667,32657632434,134.4969,0,6090,3600,22.01454717,0.552380503,3.26E+11,2.93E+11,252.3304792,117.8335792,16163360.87,4154360.868
1968,BGD,Bangladesh,61579473,24.9405,24.73916667,25.14183333,7483685474,3.8657,339,15905754,200900,25.28250472,0.342004717,35173952142,27690266668,18.18194528,14.31624528,98939874.21,37360401.21
1968,BRA,Brazil,90557064,24.63125,24.39741667,24.86508333,33875881876,77.2714,113,0,0,25.22883491,0.597584906,5.22E+11,4.88E+11,210.8392,133.5678,137590674.3,47033610.28
1968,CAN,Canada,20744000,-4.64575,-4.864083333,-4.427416667,70759031842,303.2613,0,0,0,-4.422849057,0.222900943,5.36E+11,4.65E+11,434.3247113,131.0634113,26407064.92,5663064.925
1968,CHN,China,774510000,6.727,6.5465,6.9075,70846535056,467.8056,0,0,0,7.139169811,0.412169811,1.13E+12,1.06E+12,2772.717077,2304.911477,1049505755,274995754.7
